Genus	GQ	Species	SQ	Subspecies	Author	HigherTaxon	Comment	onButton	abbreviation
Acanthodesmia	 	micropora	 	 	 	Nasselaria		n	Aca mic
Acanthosphaera	 	actinota	 	 	 	Spumellaria		n	Aca act
Acanthosphaera	 	insignis	 	 	 	Spumellaria		n	Aca ins
Acrosphaera	 	australis	 	 	 	Collo/Entact/Phaeo		y	australis
Acrosphaera	 	cyrtodon	 	 	 	Collo/Entact/Phaeo		n	Acr cyr
Acrosphaera	 	labrata	 	 	 	Collo/Entact/Phaeo		y	labrata
Acrosphaera	 	lappacea	 	 	 	Collo/Entact/Phaeo		n	Acr lap
Acrosphaera	 	mercurius	 	 	 	Collo/Entact/Phaeo		n	Acr mer
Acrosphaera	 	murrayana	 	 	 	Collo/Entact/Phaeo		y	murrayana
Acrosphaera		cuniculiauris				Collo/Entact/Phaeo		y	cuniculi
Acrosphaera	 	spinosa	 	 	 	Collo/Entact/Phaeo		n	Acr spi
Actinomma	 	arcadophorum	 	 	 	Spumellaria		n	Act arc
Actinomma	 	boreale	 	 	 	Spumellaria		n	Act bor
Actinomma	 	campilacantha	 	 	 	Spumellaria		n	Act cam
Actinomma	 	delicatulum	 	 	 	Spumellaria		y	Act del
Actinomma	 	golownini	 	 	 	Spumellaria		y	golownini
Actinomma	 	spE	cf haysi	 	 	Spumellaria		n	Act spE
Actinomma	 	kerguelensis	 	 	 	Spumellaria		n	Act ker
Actinomma	 	leptoderma	 	 	 	Spumellaria		y	Act lep
Actinomma	 	magnifenestra	 	 	 	Spumellaria		n	Act mag
Actinomma	 	medianum	 	 	 	Spumellaria		n	Act med
Actinomma	 	medusa	 	 	 	Spumellaria		y	medusa
Actinomma	 	popofskii	 	 	 	Spumellaria		y	popofskii
Actinomma		livae	?	 	 	Spumellaria		n	Act liv
Actinomma	?	nigriniae	 	 	 	Spumellaria		n	Act nig
Actinommid		spC				Spumellaria		n	Act spC
Actinommid	 	spL	 	 	 	Spumellaria		n	Act spL
Actinommid	 	spM	 	 	 	Spumellaria		y	Act spM
Actinommid	 	spN	 	 	 	Spumellaria		n	Act spN
Amphimelissa	?	hibernifortuna	 	 	 	Nasselaria		n	Amp spO
Amphiplecta	 	acrostoma	 	 	 	Nasselaria		n	Amp acr
Amphiplecta	 	tripleura	 	 	 	Nasselaria		y	tripleura
Amphirhopalum	 	ypsilon	 	 	 	Spumellaria		n	Amp yps
Amphitholus	 	spp	 	 	 	Spumellaria		n	Amp spp
Amphymenium	 	amphystylium	 	 	 	Spumellaria		y	Amp amp
Amphymenium	 	challengerae	 	 	 	Spumellaria		n	Amp cha
Anomalocantha	 	dentata	 	 	 	Spumellaria		y	Ano den
Antarctissa	 	cylindrica	 	 	 	Nasselaria		y	cylindrica
Antarctissa	 	deflandrei	 	 	 	Nasselaria		y	deflandrei
Antarctissa	 	denticulata	 	 	 	Nasselaria		y	denticulata
Antarctissa	 	robusta	 	 	 	Nasselaria		y	robusta(A)
Antarctissa		ballista	 	 	 	Nasselaria		y	ballista
Antarctissa	 	strelkovi	 	 	 	Nasselaria		y	strelkovi
