Genus	GQ	Species	SQ	Subspecies	Author	Comment	onButton	abbreviation	HigherTaxon
Acaeniotyle		amplissima			Foreman		n		others
Acaeniotyle		diaphorogona			Foreman		n		others
Acaeniotyle		helicta			Foreman		n		others
Acaeniotyle		tribulosa			Foreman		n		others
Acaeniotyle		umbilicata			Rust		n		others
Acanthocircus		amissus			Squinabol		n		others
Acanthocircus		carinatus			Foreman		n		others
Acanthocircus		dicranacanthos			Squinabol		n		others
Acanthocircus		ellipticus			Campbell and Clark		n		others
Acanthocircus		multidentatus			(Squinabol) Pessagno 1977		n		others
Acanthocircus		squinaboli			Pessagno		n		others
Acanthocircus		suboblongus			Yao		n		others
Acanthocircus		trizonalis			Ruest		n		others
Acanthocircus		variabilis			Squinabol		n		others
Acanthocyrtis		anthemis			Haeckel		n		others
Acanthodesmia		circumflexa			(Goll) Petrushevskaya		y	A circumflexa	Trissocyclidae
Acanthodesmia		micropora			(Popofsky) Petrushevskaya		n		Trissocyclidae
Acanthodesmia		viniculata			(Mueller) Mueller		n		Trissocyclidae
Acanthosphaera		actinota			Haeckel		n		Actinommidae
Acanthosphaera		castanea			Haeckel		n		Actinommidae
Acanthosphaera		dodecastyla			Mast		n		Actinommidae
Acanthosphaera		pinchuda			Boltovskoy 		n		Actinommidae
Acanthosphaera		tenuis			Haeckel		n		Actinommidae
Acrobotrissa		cribrosa			Popofsky		n		Cannobotryidae
Acrobotrys		chelinobotrys			Takahashi		n		Cannobotryidae
Acrobotrys		disolenia			Haeckel		n		Cannobotryidae
Acrobotrys		sphaerothorax			(Haeckel) Petrushevskaya and Kozlova		n		Cannobotryidae
Acrobotrys		teralans			Renz 		n		Cannobotryidae
Acrobotrys		tessarolobon			Takahashi		n		Cannobotryidae
Acrobotrys		tritubus			Riedel		y	S tritubus	Cannobotryidae
Acrocubus		octopylus			Haeckel		n		Trissocyclidae
Acrosphaera		arktios			(Nigrini)		n		Collosphaeridae
Acrosphaera		australis			Lazarus		n		Collosphaeridae
Acrosphaera		collina			Haeckel		n		Collosphaeridae
Acrosphaera		cyrtodon			(Haeckel) Strelkov and Reshetnyak		n		Collosphaeridae
Acrosphaera		flammabunda			(Haeckel) Johnson and Nigrini		n		Collosphaeridae
Acrosphaera		hamospina			Caulet		n		Collosphaeridae
Acrosphaera		labrata			Lazarus 		n		Collosphaeridae
Acrosphaera		lappacea			(Haeckel) Johnson and Nigrini		n		Collosphaeridae
Acrosphaera		mercurius			Lazarus 		n		Collosphaeridae
Acrosphaera		murrayana			(Haeckel) Hilmers		n		Collosphaeridae
Acrosphaera		pseudarktios			Caulet 		n		Collosphaeridae
Acrosphaera		spinosa			Caulet 		n		Collosphaeridae
Acrosphaera		trepanata			(Haeckel) Goll		n		Collosphaeridae
Acrospyris		lingi			Shilov		n		Trissocyclidae
Actinomma		antarcticum			(Haeckel) Nigrini		n		Actinommidae
Actinomma		arcadophorum			Haeckel		n		Actinommidae
Actinomma		beroes			(Ehrenberg) Petrushevskaya		n		Actinommidae
Actinomma		boreale			Cleve		n		Actinommidae
Actinomma		buspinigerum			(Hays) Petrushevskaya		n		Actinommidae
Actinomma		campylacantha			Caulet		n		Actinommidae
Actinomma		capillaceum			Haeckel		n		Actinommidae
Actinomma		delicatulum			(Dogiel) in Dogiel and Reshetnyak 		n		Actinommidae
Actinomma		golownini			Petrushevskaya 		n		Actinommidae
Actinomma		haysi			Bjoerklund 		n		Actinommidae
Actinomma		henningsmoeni			Goll and Bjoerklund 		n		Actinommidae
Actinomma		holtedahli			Bjoerklund 		n		Actinommidae
Actinomma		kerguelenensis			Caulet		n		Actinommidae
Actinomma		leptodermum			(Jorgensen) Nigrini and Moore		n		Actinommidae
Actinomma		livae			Goll and Bjoerklund 		n		Actinommidae
Actinomma		magnifenestra			Lazarus 		n		Actinommidae
Actinomma		medianum			Nigrini 		n		Actinommidae
Actinomma		mediterranensis			Hollande 		n		Actinommidae
Actinomma		medusa			(Ehrenberg)		n		Actinommidae
Actinomma		mirabile			Goll and Bjoerklund 		n		Actinommidae
Actinomma		plasticum			Goll and Bjoerklund 		n		Actinommidae
Actinomma		popofskii			(Petrushevskaya) Caulet		n		Actinommidae
Actinomma		sol			Cleve 		n		Actinommidae
Actinomma		trinacria			(Haeckel) Cortese and Bjorklund		n		Actinommidae
Actinomma		yosii			Nakaseko 		n		Actinommidae
